STORM ID,NAME,YEAR,MONTH,DAY,HOUR,CAT,LAT,LON,INT,PRES
AL012014,ARTHUR,2014,7,1,0,TD,27.7N,78.9W,30,1008
AL012014,ARTHUR,2014,7,1,600,TD,27.5N,79.1W,30,1007
AL012014,ARTHUR,2014,7,1,1200,TS,27.5N,79.2W,35,1005
AL012014,ARTHUR,2014,7,1,1800,TS,27.7N,79.3W,40,1003
AL012014,ARTHUR,2014,7,2,0,TS,27.9N,79.2W,45,999
AL012014,ARTHUR,2014,7,2,600,TS,28.2N,79.1W,50,995
AL012014,ARTHUR,2014,7,2,1200,TS,28.7N,79.0W,55,995
AL012014,ARTHUR,2014,7,2,1800,TS,29.4N,79.1W,60,994
AL012014,ARTHUR,2014,7,3,0,H1,30.1N,79.2W,65,987
AL012014,ARTHUR,2014,7,3,600,H1,30.9N,79.1W,70,984
AL012014,ARTHUR,2014,7,3,1200,H1,31.8N,78.8W,80,981
AL012014,ARTHUR,2014,7,3,1800,H1,32.9N,78.3W,80,978
AL012014,ARTHUR,2014,7,4,0,H2,34.0N,77.3W,85,975
AL012014,ARTHUR,2014,7,4,600,H2,35.3N,76.0W,85,973
AL012014,ARTHUR,2014,7,4,1200,H1,36.8N,74.4W,80,976
AL012014,ARTHUR,2014,7,4,1800,H1,38.4N,72.4W,70,978
AL012014,ARTHUR,2014,7,5,0,H1,40.2N,69.7W,65,976
AL012014,ARTHUR,2014,7,5,600,TS,42.3N,67.6W,60,981
AL012014,ARTHUR,2014,7,5,1200,EX,44.1N,66.5W,60,982
AL012014,ARTHUR,2014,7,5,1800,EX,45.9N,65.3W,55,980
AL012014,ARTHUR,2014,7,6,0,EX,47.1N,64.0W,50,981
AL012014,ARTHUR,2014,7,6,600,EX,47.6N,62.4W,45,982
AL012014,ARTHUR,2014,7,6,1200,EX,48.5N,60.2W,40,986
AL012014,ARTHUR,2014,7,6,1800,EX,50.3N,58.1W,35,989
AL012014,ARTHUR,2014,7,7,0,EX,52.3N,56.4W,35,988
