STORM ID,NAME,YEAR,MONTH,DAY,HOUR,CAT,LAT,LON,INT,PRES
AL011960,UNNAMED,1960,6,22,600,TD,19.2N,93.2W,25,-999
AL011960,UNNAMED,1960,6,22,1200,TD,19.8N,93.8W,25,-999
AL011960,UNNAMED,1960,6,22,1800,TD,20.8N,94.6W,25,-999
AL011960,UNNAMED,1960,6,23,0,TD,22.0N,95.3W,30,-999
AL011960,UNNAMED,1960,6,23,600,TS,23.5N,95.8W,35,-999
AL011960,UNNAMED,1960,6,23,1200,TS,24.7N,96.3W,40,-999
AL011960,UNNAMED,1960,6,23,1800,TS,25.5N,96.7W,45,-999
AL011960,UNNAMED,1960,6,24,0,TS,26.3N,97.1W,50,-999
AL011960,UNNAMED,1960,6,24,600,TS,27.2N,97.5W,45,1000
AL011960,UNNAMED,1960,6,24,1200,TS,28.2N,97.9W,35,1002
AL011960,UNNAMED,1960,6,24,1800,TD,29.0N,98.2W,30,1003
AL011960,UNNAMED,1960,6,25,0,TD,29.2N,98.4W,30,1004
AL011960,UNNAMED,1960,6,25,600,TD,28.7N,98.5W,25,1005
AL011960,UNNAMED,1960,6,25,1200,TD,28.3N,98.4W,25,1006
AL011960,UNNAMED,1960,6,25,1800,TD,28.7N,98.2W,25,1006
AL011960,UNNAMED,1960,6,26,0,TD,29.2N,97.7W,25,1005
AL011960,UNNAMED,1960,6,26,600,TD,30.0N,97.2W,25,1006
AL011960,UNNAMED,1960,6,26,1200,TD,31.1N,96.9W,25,1007
AL011960,UNNAMED,1960,6,26,1800,TD,32.3N,96.5W,25,1008
AL011960,UNNAMED,1960,6,27,0,TD,33.4N,96.1W,20,1008
AL011960,UNNAMED,1960,6,27,600,TD,34.7N,95.0W,20,1009
AL011960,UNNAMED,1960,6,27,1200,TD,36.0N,93.8W,20,1010
AL011960,UNNAMED,1960,6,27,1800,TD,37.1N,92.7W,20,1011
AL011960,UNNAMED,1960,6,28,0,TD,37.6N,91.7W,20,1011
AL011960,UNNAMED,1960,6,28,600,TD,38.0N,90.5W,20,1012
AL011960,UNNAMED,1960,6,28,1200,TD,38.5N,89.0W,20,1013
AL021960,ABBY,1960,7,9,1200,TS,12.0N,55.8W,40,-999
AL021960,ABBY,1960,7,9,1800,TS,12.5N,57.0W,40,-999
AL021960,ABBY,1960,7,10,0,TS,13.0N,58.2W,45,-999
AL021960,ABBY,1960,7,10,600,TS,13.5N,59.6W,50,-999
AL021960,ABBY,1960,7,10,1200,TS,13.9N,60.9W,55,1003
AL021960,ABBY,1960,7,10,1800,TS,14.1N,62.3W,55,1002
AL021960,ABBY,1960,7,11,0,TS,14.3N,63.5W,55,-999
AL021960,ABBY,1960,7,11,600,TS,14.5N,64.7W,60,-999
AL021960,ABBY,1960,7,11,1200,TS,14.7N,65.8W,60,999
AL021960,ABBY,1960,7,11,1800,TS,14.9N,67.3W,55,1004
AL021960,ABBY,1960,7,12,0,TS,14.9N,68.9W,50,1005
AL021960,ABBY,1960,7,12,600,TS,14.7N,70.4W,50,1005
AL021960,ABBY,1960,7,12,1200,TS,14.7N,71.9W,50,1007
AL021960,ABBY,1960,7,12,1800,TS,15.0N,73.2W,50,-999
AL021960,ABBY,1960,7,13,0,TS,15.2N,74.3W,50,1004
AL021960,ABBY,1960,7,13,600,TS,15.2N,75.4W,50,-999
AL021960,ABBY,1960,7,13,1200,TS,14.9N,76.7W,45,1008
AL021960,ABBY,1960,7,13,1800,TS,14.7N,78.1W,45,-999
AL021960,ABBY,1960,7,14,0,TS,14.7N,79.5W,45,1004
AL021960,ABBY,1960,7,14,600,TS,15.1N,81.0W,50,-999
AL021960,ABBY,1960,7,14,1200,TS,15.6N,82.5W,55,-999
AL021960,ABBY,1960,7,14,1800,TS,15.9N,83.9W,55,-999
AL021960,ABBY,1960,7,15,0,TS,16.1N,85.2W,60,995
AL021960,ABBY,1960,7,15,600,H1,16.3N,86.6W,70,-999
AL021960,ABBY,1960,7,15,1200,H1,16.5N,88.0W,70,-999
AL021960,ABBY,1960,7,15,1800,TS,16.6N,89.4W,45,-999
AL021960,ABBY,1960,7,16,0,TD,16.8N,90.6W,30,-999
AL021960,ABBY,1960,7,16,600,TD,17.1N,91.6W,30,-999
AL021960,ABBY,1960,7,16,1200,TD,17.5N,92.7W,30,-999
AL021960,ABBY,1960,7,16,1800,TD,18.0N,94.0W,30,-999
AL021960,ABBY,1960,7,17,0,TD,18.6N,95.3W,30,-999
AL021960,ABBY,1960,7,17,600,TD,19.4N,96.6W,30,-999
AL021960,ABBY,1960,7,17,1200,TD,20.5N,98.0W,30,-999
AL031960,BRENDA,1960,7,27,1800,TD,27.7N,85.1W,30,-999
AL031960,BRENDA,1960,7,28,0,TD,27.4N,85.5W,30,-999
AL031960,BRENDA,1960,7,28,600,TD,27.4N,85.4W,30,-999
AL031960,BRENDA,1960,7,28,1200,TS,27.6N,85.3W,35,-999
AL031960,BRENDA,1960,7,28,1800,TS,27.8N,85.3W,35,-999
AL031960,BRENDA,1960,7,29,0,TS,28.5N,85.0W,35,-999
AL031960,BRENDA,1960,7,29,600,TS,29.7N,83.5W,35,-999
AL031960,BRENDA,1960,7,29,1200,TS,31.5N,81.8W,55,1000
AL031960,BRENDA,1960,7,29,1800,TS,32.8N,79.7W,60,993
AL031960,BRENDA,1960,7,30,0,TS,34.6N,77.9W,55,994
AL031960,BRENDA,1960,7,30,600,TS,37.0N,76.5W,50,993
AL031960,BRENDA,1960,7,30,1200,TS,38.7N,75.3W,50,992
AL031960,BRENDA,1960,7,30,1800,TS,40.5N,73.8W,50,991
AL031960,BRENDA,1960,7,31,0,TS,43.0N,71.5W,40,991
AL031960,BRENDA,1960,7,31,600,EX,46.0N,69.3W,35,992
AL031960,BRENDA,1960,7,31,1200,EX,50.0N,68.6W,35,990
AL031960,BRENDA,1960,7,31,1800,EX,54.0N,68.3W,35,986
AL031960,BRENDA,1960,8,1,0,EX,58.0N,68.9W,40,977
AL031960,BRENDA,1960,8,1,600,EX,60.5N,69.5W,45,976
AL031960,BRENDA,1960,8,1,1200,EX,61.0N,71.5W,45,976
AL031960,BRENDA,1960,8,1,1800,EX,61.5N,75.0W,40,980
AL031960,BRENDA,1960,8,2,0,EX,60.5N,77.5W,35,982
AL031960,BRENDA,1960,8,2,600,EX,58.0N,79.5W,35,983
AL031960,BRENDA,1960,8,2,1200,EX,56.0N,80.0W,35,983
AL031960,BRENDA,1960,8,2,1800,EX,55.5N,76.0W,30,984
AL031960,BRENDA,1960,8,3,0,EX,55.5N,71.0W,30,984
AL031960,BRENDA,1960,8,3,600,EX,55.7N,68.0W,30,984
AL031960,BRENDA,1960,8,3,1200,EX,56.0N,67.0W,30,984
AL031960,BRENDA,1960,8,3,1800,EX,56.4N,66.0W,30,985
AL031960,BRENDA,1960,8,4,0,EX,56.7N,66.0W,30,986
AL031960,BRENDA,1960,8,4,600,EX,57.0N,66.0W,30,986
AL031960,BRENDA,1960,8,4,1200,EX,57.2N,66.0W,30,987
AL031960,BRENDA,1960,8,4,1800,EX,57.5N,66.0W,25,989
AL031960,BRENDA,1960,8,5,0,EX,58.0N,66.0W,25,992
AL031960,BRENDA,1960,8,5,600,EX,59.0N,68.0W,25,995
AL031960,BRENDA,1960,8,5,1200,EX,59.5N,70.5W,20,998
AL031960,BRENDA,1960,8,5,1800,EX,59.8N,71.0W,20,1000
AL031960,BRENDA,1960,8,6,0,EX,59.5N,72.0W,20,1003
AL031960,BRENDA,1960,8,6,600,EX,59.0N,73.5W,20,1005
AL031960,BRENDA,1960,8,6,1200,EX,58.2N,72.0W,20,1006
AL031960,BRENDA,1960,8,6,1800,EX,57.8N,69.0W,20,1006
AL031960,BRENDA,1960,8,7,0,EX,57.5N,66.0W,20,1007
AL031960,BRENDA,1960,8,7,600,EX,57.0N,64.0W,20,1007
AL031960,BRENDA,1960,8,7,1200,EX,56.2N,62.0W,20,1006
AL031960,BRENDA,1960,8,7,1800,EX,56.0N,60.0W,20,1005
AL041960,CLEO,1960,8,17,1800,TD,26.0N,74.7W,25,-999
AL041960,CLEO,1960,8,18,0,TD,25.5N,74.3W,30,-999
AL041960,CLEO,1960,8,18,600,TS,25.7N,73.5W,45,-999
AL041960,CLEO,1960,8,18,1200,TS,26.6N,72.7W,60,997
AL041960,CLEO,1960,8,18,1800,H1,27.8N,71.8W,65,-999
AL041960,CLEO,1960,8,19,0,H1,29.3N,71.0W,70,-999
AL041960,CLEO,1960,8,19,600,H1,31.0N,70.2W,75,-999
AL041960,CLEO,1960,8,19,1200,H1,33.1N,69.4W,75,999
AL041960,CLEO,1960,8,19,1800,H1,35.4N,68.6W,75,995
AL041960,CLEO,1960,8,20,0,H1,37.7N,67.8W,70,997
AL041960,CLEO,1960,8,20,600,H1,40.0N,66.8W,70,-999
AL041960,CLEO,1960,8,20,1200,TS,42.2N,65.2W,60,-999
AL041960,CLEO,1960,8,20,1800,TS,43.6N,63.4W,45,-999
AL041960,CLEO,1960,8,21,0,TS,44.2N,60.5W,35,-999
AL051960,DONNA,1960,8,29,1800,TD,10.2N,22.8W,25,-999
AL051960,DONNA,1960,8,30,0,TD,10.1N,24.2W,25,-999
AL051960,DONNA,1960,8,30,600,TD,10.2N,25.5W,25,-999
AL051960,DONNA,1960,8,30,1200,TD,10.3N,26.9W,25,-999
AL051960,DONNA,1960,8,30,1800,TD,10.5N,28.4W,25,-999
AL051960,DONNA,1960,8,31,0,TD,10.7N,30.0W,30,-999
AL051960,DONNA,1960,8,31,600,TD,10.9N,31.6W,30,-999
AL051960,DONNA,1960,8,31,1200,TS,11.1N,33.1W,35,-999
AL051960,DONNA,1960,8,31,1800,TS,11.4N,34.6W,35,-999
AL051960,DONNA,1960,9,1,0,TS,11.7N,36.2W,40,-999
AL051960,DONNA,1960,9,1,600,TS,12.0N,37.8W,50,-999
AL051960,DONNA,1960,9,1,1200,TS,12.3N,39.4W,55,-999
AL051960,DONNA,1960,9,1,1800,H1,12.6N,41.1W,65,-999
AL051960,DONNA,1960,9,2,0,H1,12.9N,42.8W,70,-999
AL051960,DONNA,1960,9,2,600,H1,13.3N,44.3W,75,-999
AL051960,DONNA,1960,9,2,1200,H2,13.6N,45.8W,85,-999
AL051960,DONNA,1960,9,2,1800,H2,13.9N,47.6W,95,973
AL051960,DONNA,1960,9,3,0,H3,14.3N,49.4W,100,-999
AL051960,DONNA,1960,9,3,600,H3,14.7N,51.2W,105,-999
AL051960,DONNA,1960,9,3,1200,H3,15.3N,53.1W,105,962
AL051960,DONNA,1960,9,3,1800,H3,15.9N,55.0W,105,-999
AL051960,DONNA,1960,9,4,0,H3,16.4N,56.6W,110,-999
AL051960,DONNA,1960,9,4,600,H3,16.6N,58.2W,110,-999
AL051960,DONNA,1960,9,4,1200,H3,16.9N,59.7W,110,958
AL051960,DONNA,1960,9,4,1800,H3,17.4N,60.9W,110,-999
AL051960,DONNA,1960,9,5,0,H3,17.8N,62.1W,110,956
AL051960,DONNA,1960,9,5,600,H3,18.3N,63.4W,110,952
AL051960,DONNA,1960,9,5,1200,H3,19.1N,64.8W,110,958
AL051960,DONNA,1960,9,5,1800,H3,19.7N,65.8W,110,956
AL051960,DONNA,1960,9,6,0,H4,20.1N,66.5W,115,941
AL051960,DONNA,1960,9,6,600,H4,20.6N,67.5W,115,-999
AL051960,DONNA,1960,9,6,1200,H4,21.2N,68.3W,120,940
AL051960,DONNA,1960,9,6,1800,H4,21.5N,68.9W,120,940
AL051960,DONNA,1960,9,7,0,H4,21.8N,69.7W,125,932
AL051960,DONNA,1960,9,7,600,H4,22.0N,70.5W,120,-999
AL051960,DONNA,1960,9,7,1200,H3,22.1N,71.3W,110,948
AL051960,DONNA,1960,9,7,1800,H3,22.1N,72.3W,110,-999
AL051960,DONNA,1960,9,8,0,H3,22.2N,73.4W,110,945
AL051960,DONNA,1960,9,8,600,H3,22.2N,74.3W,105,947
AL051960,DONNA,1960,9,8,1200,H3,22.3N,75.3W,100,951
AL051960,DONNA,1960,9,8,1800,H3,22.4N,76.1W,105,945
AL051960,DONNA,1960,9,9,0,H3,22.6N,76.9W,110,939
AL051960,DONNA,1960,9,9,600,H3,22.9N,77.8W,110,942
AL051960,DONNA,1960,9,9,1200,H3,23.2N,78.7W,110,942
AL051960,DONNA,1960,9,9,1800,H3,23.7N,79.4W,110,944
AL051960,DONNA,1960,9,10,0,H4,24.2N,80.1W,115,938
AL051960,DONNA,1960,9,10,600,H4,24.7N,80.8W,125,930
AL051960,DONNA,1960,9,10,1200,H4,25.3N,81.3W,115,939
AL051960,DONNA,1960,9,10,1800,H3,26.3N,81.8W,105,945
AL051960,DONNA,1960,9,11,0,H2,27.3N,81.9W,85,957
AL051960,DONNA,1960,9,11,600,H1,28.3N,81.7W,65,964
AL051960,DONNA,1960,9,11,1200,H1,29.7N,81.0W,75,968
AL051960,DONNA,1960,9,11,1800,H1,31.1N,79.9W,80,970
AL051960,DONNA,1960,9,12,0,H2,33.0N,78.3W,90,958
AL051960,DONNA,1960,9,12,600,H2,35.1N,76.7W,85,960
AL051960,DONNA,1960,9,12,1200,H2,37.3N,74.8W,85,-999
AL051960,DONNA,1960,9,12,1800,H2,40.1N,73.3W,85,959
AL051960,DONNA,1960,9,13,0,TS,42.8N,71.2W,60,969
AL051960,DONNA,1960,9,13,600,EX,46.8N,68.6W,60,-999
AL051960,DONNA,1960,9,13,1200,EX,50.0N,66.0W,60,-999
AL051960,DONNA,1960,9,13,1800,EX,53.1N,62.5W,60,-999
AL051960,DONNA,1960,9,14,0,EX,56.0N,58.2W,45,-999
AL051960,DONNA,1960,9,14,600,EX,58.5N,54.0W,40,-999
AL051960,DONNA,1960,9,14,1200,EX,61.0N,50.0W,40,-999
AL061960,ETHEL,1960,9,12,1800,TD,22.0N,93.0W,25,-999
AL061960,ETHEL,1960,9,13,0,TD,22.3N,92.7W,25,-999
AL061960,ETHEL,1960,9,13,600,TD,22.4N,92.4W,30,-999
AL061960,ETHEL,1960,9,13,1200,TS,22.6N,92.1W,35,-999
AL061960,ETHEL,1960,9,13,1800,TS,22.8N,91.9W,40,-999
AL061960,ETHEL,1960,9,14,0,TS,23.1N,91.7W,45,-999
AL061960,ETHEL,1960,9,14,600,TS,23.4N,91.3W,60,-999
AL061960,ETHEL,1960,9,14,1200,H1,23.9N,90.8W,80,-999
AL061960,ETHEL,1960,9,14,1800,H3,25.6N,90.0W,100,974
AL061960,ETHEL,1960,9,15,0,H3,27.1N,89.2W,100,976
AL061960,ETHEL,1960,9,15,600,H1,28.4N,88.8W,80,981
AL061960,ETHEL,1960,9,15,1200,H1,29.4N,88.7W,75,985
AL061960,ETHEL,1960,9,15,1800,H1,30.1N,88.8W,70,984
AL061960,ETHEL,1960,9,16,0,TS,30.6N,89.1W,55,-999
AL061960,ETHEL,1960,9,16,600,TS,31.2N,89.0W,40,-999
AL061960,ETHEL,1960,9,16,1200,TD,32.0N,88.9W,30,1007
AL061960,ETHEL,1960,9,16,1800,TD,32.9N,88.7W,25,1010
AL061960,ETHEL,1960,9,17,0,TD,33.9N,88.4W,25,1011
AL061960,ETHEL,1960,9,17,600,TD,34.9N,88.0W,20,1012
AL061960,ETHEL,1960,9,17,1200,TD,35.9N,87.4W,20,1013
AL061960,ETHEL,1960,9,17,1800,TD,36.8N,86.6W,20,1015
AL071960,FLORENCE,1960,9,17,600,TD,20.9N,64.0W,25,-999
AL071960,FLORENCE,1960,9,17,1200,TD,21.1N,64.8W,25,-999
AL071960,FLORENCE,1960,9,17,1800,TD,21.2N,65.8W,30,-999
AL071960,FLORENCE,1960,9,18,0,TS,21.2N,66.8W,35,-999
AL071960,FLORENCE,1960,9,18,600,TS,21.0N,67.9W,40,-999
AL071960,FLORENCE,1960,9,18,1200,TS,20.9N,69.0W,45,1000
AL071960,FLORENCE,1960,9,18,1800,TS,20.9N,70.1W,40,1003
AL071960,FLORENCE,1960,9,19,0,TS,20.9N,71.2W,40,1003
AL071960,FLORENCE,1960,9,19,600,TS,21.0N,72.4W,40,1004
AL071960,FLORENCE,1960,9,19,1200,TS,21.1N,73.7W,35,1006
AL071960,FLORENCE,1960,9,19,1800,TD,21.5N,74.7W,30,-999
AL071960,FLORENCE,1960,9,20,0,TD,22.0N,75.6W,30,-999
AL071960,FLORENCE,1960,9,20,600,TD,22.6N,76.5W,25,-999
AL071960,FLORENCE,1960,9,20,1200,TD,23.2N,77.6W,25,-999
AL071960,FLORENCE,1960,9,20,1800,TD,23.5N,78.6W,25,-999
AL071960,FLORENCE,1960,9,21,0,TD,23.7N,79.6W,25,-999
AL071960,FLORENCE,1960,9,21,600,TD,23.7N,80.6W,25,-999
AL071960,FLORENCE,1960,9,23,1200,TD,24.9N,81.8W,25,1005
AL071960,FLORENCE,1960,9,23,1800,TD,25.9N,81.1W,30,-999
AL071960,FLORENCE,1960,9,24,0,TS,26.7N,80.5W,35,1002
AL071960,FLORENCE,1960,9,24,600,TS,27.3N,80.3W,50,-999
AL071960,FLORENCE,1960,9,24,1200,TS,27.5N,80.5W,50,-999
AL071960,FLORENCE,1960,9,24,1800,TS,27.6N,81.0W,40,-999
AL071960,FLORENCE,1960,9,25,0,TD,27.7N,81.8W,30,-999
AL071960,FLORENCE,1960,9,25,600,TD,27.8N,82.9W,25,-999
AL071960,FLORENCE,1960,9,25,1200,TD,27.9N,83.9W,25,-999
AL071960,FLORENCE,1960,9,25,1800,TD,28.3N,84.8W,25,-999
AL071960,FLORENCE,1960,9,26,0,TD,28.9N,85.6W,25,-999
AL071960,FLORENCE,1960,9,26,600,TD,29.5N,86.4W,20,-999
AL071960,FLORENCE,1960,9,26,1200,TD,30.1N,87.1W,20,-999
AL071960,FLORENCE,1960,9,26,1800,TD,30.8N,87.7W,20,-999
AL081960,UNNAMED,1960,9,1,0,TD,23.0N,49.0W,30,-999
AL081960,UNNAMED,1960,9,1,600,TS,24.0N,50.3W,35,-999
AL081960,UNNAMED,1960,9,1,1200,TS,25.5N,51.5W,40,-999
AL081960,UNNAMED,1960,9,1,1800,TS,27.0N,52.5W,40,-999
AL081960,UNNAMED,1960,9,2,0,TS,28.5N,52.8W,35,-999
AL081960,UNNAMED,1960,9,2,600,TS,29.8N,52.8W,35,-999
AL081960,UNNAMED,1960,9,2,1200,TD,31.1N,52.8W,30,-999
AL081960,UNNAMED,1960,9,2,1800,TD,32.3N,52.8W,30,-999
AL081960,UNNAMED,1960,9,3,0,TD,33.5N,52.5W,25,-999
AL011961,ANNA,1961,7,17,1800,TD,10.5N,46.0W,30,-999
AL011961,ANNA,1961,7,18,0,TD,10.6N,47.6W,30,-999
AL011961,ANNA,1961,7,18,600,TD,10.7N,49.3W,30,-999
AL011961,ANNA,1961,7,18,1200,TS,10.8N,51.0W,35,-999
AL011961,ANNA,1961,7,18,1800,TS,11.0N,52.5W,35,-999
AL011961,ANNA,1961,7,19,0,TS,11.2N,54.0W,40,-999
AL011961,ANNA,1961,7,19,600,TS,11.4N,55.5W,40,-999
AL011961,ANNA,1961,7,19,1200,TS,11.5N,57.0W,45,-999
AL011961,ANNA,1961,7,19,1800,TS,11.6N,58.5W,45,-999
AL011961,ANNA,1961,7,20,0,TS,11.7N,60.2W,50,-999
AL011961,ANNA,1961,7,20,600,TS,11.8N,62.0W,55,-999
AL011961,ANNA,1961,7,20,1200,TS,11.9N,63.8W,60,-999
AL011961,ANNA,1961,7,20,1800,H1,12.4N,65.6W,65,999
AL011961,ANNA,1961,7,21,0,H1,12.9N,67.5W,65,1002
AL011961,ANNA,1961,7,21,600,H1,13.2N,69.5W,75,992
AL011961,ANNA,1961,7,21,1200,H1,13.4N,71.3W,80,980
AL011961,ANNA,1961,7,21,1800,H1,13.6N,73.1W,80,981
AL011961,ANNA,1961,7,22,0,H1,13.7N,74.8W,80,984
AL011961,ANNA,1961,7,22,600,H1,14.0N,76.5W,80,983
AL011961,ANNA,1961,7,22,1200,H2,14.5N,78.2W,90,976
AL011961,ANNA,1961,7,22,1800,H2,15.1N,79.9W,85,-999
AL011961,ANNA,1961,7,23,0,H1,15.2N,81.4W,70,990
AL011961,ANNA,1961,7,23,600,H1,15.3N,82.9W,70,-999
AL011961,ANNA,1961,7,23,1200,H1,15.8N,84.3W,70,992
AL011961,ANNA,1961,7,23,1800,H1,16.1N,85.7W,80,981
AL011961,ANNA,1961,7,24,0,H1,16.1N,86.7W,75,989
AL011961,ANNA,1961,7,24,600,H1,16.2N,87.7W,75,-999
AL011961,ANNA,1961,7,24,1200,H1,16.5N,88.7W,65,-999
AL011961,ANNA,1961,7,24,1800,TS,16.8N,89.7W,45,-999
AL011961,ANNA,1961,7,25,0,TD,17.0N,90.7W,30,-999
AL021961,BETSY,1961,9,2,600,TS,13.3N,41.6W,55,-999
AL021961,BETSY,1961,9,2,1200,TS,13.8N,42.6W,60,-999
AL021961,BETSY,1961,9,2,1800,H1,14.3N,43.6W,70,-999
AL021961,BETSY,1961,9,3,0,H1,14.8N,44.6W,80,-999
AL021961,BETSY,1961,9,3,600,H2,15.3N,45.6W,85,-999
AL021961,BETSY,1961,9,3,1200,H2,15.9N,46.7W,90,973
AL021961,BETSY,1961,9,3,1800,H2,17.0N,47.9W,85,-999
AL021961,BETSY,1961,9,4,0,H1,18.2N,49.0W,80,981
AL021961,BETSY,1961,9,4,600,H1,19.4N,49.8W,80,-999
AL021961,BETSY,1961,9,4,1200,H1,20.7N,50.1W,75,986
AL021961,BETSY,1961,9,4,1800,H1,22.0N,50.2W,75,982
AL021961,BETSY,1961,9,5,0,H2,23.2N,50.6W,85,-999
AL021961,BETSY,1961,9,5,600,H2,24.4N,51.4W,95,-999
AL021961,BETSY,1961,9,5,1200,H3,25.6N,52.1W,105,957
AL021961,BETSY,1961,9,5,1800,H3,27.0N,52.9W,110,-999
AL021961,BETSY,1961,9,6,0,H4,28.5N,54.0W,115,952
AL021961,BETSY,1961,9,6,600,H4,29.9N,55.0W,115,-999
AL021961,BETSY,1961,9,6,1200,H4,31.1N,56.1W,115,945
AL021961,BETSY,1961,9,6,1800,H3,32.3N,56.9W,105,954
AL021961,BETSY,1961,9,7,0,H3,33.1N,57.3W,105,-999
AL021961,BETSY,1961,9,7,600,H3,33.7N,57.8W,100,-999
AL021961,BETSY,1961,9,7,1200,H2,34.2N,58.3W,95,954
AL021961,BETSY,1961,9,7,1800,H2,34.6N,58.7W,90,-999
AL021961,BETSY,1961,9,8,0,H2,35.0N,59.2W,90,-999
AL021961,BETSY,1961,9,8,600,H2,35.3N,59.6W,85,-999
AL021961,BETSY,1961,9,8,1200,H2,35.5N,59.9W,85,-999
AL021961,BETSY,1961,9,8,1800,H1,35.9N,59.8W,75,974
AL021961,BETSY,1961,9,9,0,H1,36.0N,59.6W,75,-999
AL021961,BETSY,1961,9,9,600,H1,36.3N,59.2W,75,-999
AL021961,BETSY,1961,9,9,1200,H1,36.6N,58.7W,75,978
AL021961,BETSY,1961,9,9,1800,H1,37.2N,57.5W,80,976
AL021961,BETSY,1961,9,10,0,H1,38.0N,56.1W,80,-999
AL021961,BETSY,1961,9,10,600,H2,38.6N,54.4W,85,-999
AL021961,BETSY,1961,9,10,1200,H2,39.2N,52.3W,85,-999
AL021961,BETSY,1961,9,10,1800,H2,39.8N,49.7W,85,962
AL021961,BETSY,1961,9,11,0,H2,40.9N,45.8W,85,-999
AL021961,BETSY,1961,9,11,600,H2,42.8N,42.0W,85,-999
AL021961,BETSY,1961,9,11,1200,H2,44.7N,38.5W,85,-999
AL021961,BETSY,1961,9,11,1800,H1,47.7N,33.0W,80,-999
AL021961,BETSY,1961,9,12,0,H1,50.8N,26.5W,75,-999
AL021961,BETSY,1961,9,12,600,H1,54.0N,22.6W,70,956
AL021961,BETSY,1961,9,12,1200,H1,56.5N,21.0W,70,952
AL021961,BETSY,1961,9,12,1800,H1,58.0N,20.0W,70,949
AL021961,BETSY,1961,9,13,0,H1,58.5N,19.0W,70,946
AL021961,BETSY,1961,9,13,600,H1,59.0N,19.0W,70,947
AL021961,BETSY,1961,9,13,1200,H1,59.5N,21.0W,65,948
AL021961,BETSY,1961,9,13,1800,H1,60.2N,23.0W,65,952
AL021961,BETSY,1961,9,14,0,EX,61.0N,24.0W,60,954
AL021961,BETSY,1961,9,14,600,EX,61.0N,24.5W,60,955
AL021961,BETSY,1961,9,14,1200,EX,61.3N,25.5W,60,956
AL021961,BETSY,1961,9,14,1800,EX,62.0N,27.0W,55,960
AL021961,BETSY,1961,9,15,0,EX,62.5N,29.0W,50,964
AL021961,BETSY,1961,9,15,600,EX,62.0N,30.0W,50,968
AL021961,BETSY,1961,9,15,1200,EX,60.0N,30.0W,50,972
AL021961,BETSY,1961,9,15,1800,EX,57.0N,29.0W,45,976
AL021961,BETSY,1961,9,16,0,EX,55.0N,27.0W,40,980
AL021961,BETSY,1961,9,16,600,EX,52.5N,26.0W,35,986
AL021961,BETSY,1961,9,16,1200,EX,51.0N,23.0W,30,992
AL031961,CARLA,1961,9,3,1200,TD,12.5N,77.0W,25,-999
AL031961,CARLA,1961,9,3,1800,TD,12.9N,78.0W,30,-999
AL031961,CARLA,1961,9,4,0,TD,13.3N,78.8W,30,-999
AL031961,CARLA,1961,9,4,600,TD,13.7N,79.5W,30,1007
AL031961,CARLA,1961,9,4,1200,TD,14.2N,80.0W,30,1006
AL031961,CARLA,1961,9,4,1800,TS,14.9N,80.5W,35,1004
AL031961,CARLA,1961,9,5,0,TS,15.5N,81.2W,40,1002
AL031961,CARLA,1961,9,5,600,TS,15.9N,82.1W,40,999
AL031961,CARLA,1961,9,5,1200,TS,16.3N,82.7W,45,998
